[36mRunning:[0m input.txt
00: seti [123, 0, 3] at [0, 0, 0, 123, 0, 0]
18: addi [1, 1, 5] at [0, 5622, 18, 8781753, 11474091, 5623]
19: muli [5, 256, 5] at [0, 5622, 19, 8781753, 11474091, 1439488]
20: gtrr [5, 4, 5] at [0, 5622, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5622, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5622, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5623, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5623, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5623, 18, 8781753, 11474091, 5624]
19: muli [5, 256, 5] at [0, 5623, 19, 8781753, 11474091, 1439744]
20: gtrr [5, 4, 5] at [0, 5623, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5623, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5623, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5624, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5624, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5624, 18, 8781753, 11474091, 5625]
19: muli [5, 256, 5] at [0, 5624, 19, 8781753, 11474091, 1440000]
20: gtrr [5, 4, 5] at [0, 5624, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5624, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5624, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5625, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5625, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5625, 18, 8781753, 11474091, 5626]
19: muli [5, 256, 5] at [0, 5625, 19, 8781753, 11474091, 1440256]
20: gtrr [5, 4, 5] at [0, 5625, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5625, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5625, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5626, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5626, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5626, 18, 8781753, 11474091, 5627]
19: muli [5, 256, 5] at [0, 5626, 19, 8781753, 11474091, 1440512]
20: gtrr [5, 4, 5] at [0, 5626, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5626, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5626, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5627, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5627, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5627, 18, 8781753, 11474091, 5628]
19: muli [5, 256, 5] at [0, 5627, 19, 8781753, 11474091, 1440768]
20: gtrr [5, 4, 5] at [0, 5627, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5627, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5627, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5628, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5628, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5628, 18, 8781753, 11474091, 5629]
19: muli [5, 256, 5] at [0, 5628, 19, 8781753, 11474091, 1441024]
20: gtrr [5, 4, 5] at [0, 5628, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5628, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5628, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5629, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5629, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5629, 18, 8781753, 11474091, 5630]
19: muli [5, 256, 5] at [0, 5629, 19, 8781753, 11474091, 1441280]
20: gtrr [5, 4, 5] at [0, 5629, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5629, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5629, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5630, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5630, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5630, 18, 8781753, 11474091, 5631]
19: muli [5, 256, 5] at [0, 5630, 19, 8781753, 11474091, 1441536]
20: gtrr [5, 4, 5] at [0, 5630, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5630, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5630, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5631, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5631, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5631, 18, 8781753, 11474091, 5632]
19: muli [5, 256, 5] at [0, 5631, 19, 8781753, 11474091, 1441792]
20: gtrr [5, 4, 5] at [0, 5631, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5631, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5631, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5632, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5632, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5632, 18, 8781753, 11474091, 5633]
19: muli [5, 256, 5] at [0, 5632, 19, 8781753, 11474091, 1442048]
20: gtrr [5, 4, 5] at [0, 5632, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5632, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5632, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5633, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5633, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5633, 18, 8781753, 11474091, 5634]
19: muli [5, 256, 5] at [0, 5633, 19, 8781753, 11474091, 1442304]
20: gtrr [5, 4, 5] at [0, 5633, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5633, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5633, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5634, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5634, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5634, 18, 8781753, 11474091, 5635]
19: muli [5, 256, 5] at [0, 5634, 19, 8781753, 11474091, 1442560]
20: gtrr [5, 4, 5] at [0, 5634, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5634, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5634, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5635, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5635, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5635, 18, 8781753, 11474091, 5636]
19: muli [5, 256, 5] at [0, 5635, 19, 8781753, 11474091, 1442816]
20: gtrr [5, 4, 5] at [0, 5635, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5635, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5635, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5636, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5636, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5636, 18, 8781753, 11474091, 5637]
19: muli [5, 256, 5] at [0, 5636, 19, 8781753, 11474091, 1443072]
20: gtrr [5, 4, 5] at [0, 5636, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5636, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5636, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5637, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5637, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5637, 18, 8781753, 11474091, 5638]
19: muli [5, 256, 5] at [0, 5637, 19, 8781753, 11474091, 1443328]
20: gtrr [5, 4, 5] at [0, 5637, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5637, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5637, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5638, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5638, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5638, 18, 8781753, 11474091, 5639]
19: muli [5, 256, 5] at [0, 5638, 19, 8781753, 11474091, 1443584]
20: gtrr [5, 4, 5] at [0, 5638, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5638, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5638, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5639, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5639, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5639, 18, 8781753, 11474091, 5640]
19: muli [5, 256, 5] at [0, 5639, 19, 8781753, 11474091, 1443840]
20: gtrr [5, 4, 5] at [0, 5639, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5639, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5639, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5640, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5640, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5640, 18, 8781753, 11474091, 5641]
19: muli [5, 256, 5] at [0, 5640, 19, 8781753, 11474091, 1444096]
20: gtrr [5, 4, 5] at [0, 5640, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5640, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5640, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5641, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5641, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5641, 18, 8781753, 11474091, 5642]
19: muli [5, 256, 5] at [0, 5641, 19, 8781753, 11474091, 1444352]
20: gtrr [5, 4, 5] at [0, 5641, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5641, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5641, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5642, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5642, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5642, 18, 8781753, 11474091, 5643]
19: muli [5, 256, 5] at [0, 5642, 19, 8781753, 11474091, 1444608]
20: gtrr [5, 4, 5] at [0, 5642, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5642, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5642, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5643, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5643, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5643, 18, 8781753, 11474091, 5644]
19: muli [5, 256, 5] at [0, 5643, 19, 8781753, 11474091, 1444864]
20: gtrr [5, 4, 5] at [0, 5643, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5643, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5643, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5644, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5644, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5644, 18, 8781753, 11474091, 5645]
19: muli [5, 256, 5] at [0, 5644, 19, 8781753, 11474091, 1445120]
20: gtrr [5, 4, 5] at [0, 5644, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5644, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5644, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5645, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5645, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5645, 18, 8781753, 11474091, 5646]
19: muli [5, 256, 5] at [0, 5645, 19, 8781753, 11474091, 1445376]
20: gtrr [5, 4, 5] at [0, 5645, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5645, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5645, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5646, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5646, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5646, 18, 8781753, 11474091, 5647]
19: muli [5, 256, 5] at [0, 5646, 19, 8781753, 11474091, 1445632]
20: gtrr [5, 4, 5] at [0, 5646, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5646, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5646, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5647, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5647, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5647, 18, 8781753, 11474091, 5648]
19: muli [5, 256, 5] at [0, 5647, 19, 8781753, 11474091, 1445888]
20: gtrr [5, 4, 5] at [0, 5647, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5647, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5647, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5648, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5648, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5648, 18, 8781753, 11474091, 5649]
19: muli [5, 256, 5] at [0, 5648, 19, 8781753, 11474091, 1446144]
20: gtrr [5, 4, 5] at [0, 5648, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5648, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5648, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5649, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5649, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5649, 18, 8781753, 11474091, 5650]
19: muli [5, 256, 5] at [0, 5649, 19, 8781753, 11474091, 1446400]
20: gtrr [5, 4, 5] at [0, 5649, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5649, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5649, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5650, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5650, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5650, 18, 8781753, 11474091, 5651]
19: muli [5, 256, 5] at [0, 5650, 19, 8781753, 11474091, 1446656]
20: gtrr [5, 4, 5] at [0, 5650, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5650, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5650, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5651, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5651, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5651, 18, 8781753, 11474091, 5652]
19: muli [5, 256, 5] at [0, 5651, 19, 8781753, 11474091, 1446912]
20: gtrr [5, 4, 5] at [0, 5651, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5651, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5651, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5652, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5652, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5652, 18, 8781753, 11474091, 5653]
19: muli [5, 256, 5] at [0, 5652, 19, 8781753, 11474091, 1447168]
20: gtrr [5, 4, 5] at [0, 5652, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5652, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5652, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5653, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5653, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5653, 18, 8781753, 11474091, 5654]
19: muli [5, 256, 5] at [0, 5653, 19, 8781753, 11474091, 1447424]
20: gtrr [5, 4, 5] at [0, 5653, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5653, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5653, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5654, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5654, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5654, 18, 8781753, 11474091, 5655]
19: muli [5, 256, 5] at [0, 5654, 19, 8781753, 11474091, 1447680]
20: gtrr [5, 4, 5] at [0, 5654, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5654, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5654, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5655, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5655, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5655, 18, 8781753, 11474091, 5656]
19: muli [5, 256, 5] at [0, 5655, 19, 8781753, 11474091, 1447936]
20: gtrr [5, 4, 5] at [0, 5655, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5655, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5655, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5656, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5656, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5656, 18, 8781753, 11474091, 5657]
19: muli [5, 256, 5] at [0, 5656, 19, 8781753, 11474091, 1448192]
20: gtrr [5, 4, 5] at [0, 5656, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5656, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5656, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5657, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5657, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5657, 18, 8781753, 11474091, 5658]
19: muli [5, 256, 5] at [0, 5657, 19, 8781753, 11474091, 1448448]
20: gtrr [5, 4, 5] at [0, 5657, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5657, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5657, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5658, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5658, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5658, 18, 8781753, 11474091, 5659]
19: muli [5, 256, 5] at [0, 5658, 19, 8781753, 11474091, 1448704]
20: gtrr [5, 4, 5] at [0, 5658, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5658, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5658, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5659, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5659, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5659, 18, 8781753, 11474091, 5660]
19: muli [5, 256, 5] at [0, 5659, 19, 8781753, 11474091, 1448960]
20: gtrr [5, 4, 5] at [0, 5659, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5659, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5659, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5660, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5660, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5660, 18, 8781753, 11474091, 5661]
19: muli [5, 256, 5] at [0, 5660, 19, 8781753, 11474091, 1449216]
20: gtrr [5, 4, 5] at [0, 5660, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5660, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5660, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5661, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5661, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5661, 18, 8781753, 11474091, 5662]
19: muli [5, 256, 5] at [0, 5661, 19, 8781753, 11474091, 1449472]
20: gtrr [5, 4, 5] at [0, 5661, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5661, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5661, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5662, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5662, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5662, 18, 8781753, 11474091, 5663]
19: muli [5, 256, 5] at [0, 5662, 19, 8781753, 11474091, 1449728]
20: gtrr [5, 4, 5] at [0, 5662, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5662, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5662, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5663, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5663, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5663, 18, 8781753, 11474091, 5664]
19: muli [5, 256, 5] at [0, 5663, 19, 8781753, 11474091, 1449984]
20: gtrr [5, 4, 5] at [0, 5663, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5663, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5663, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5664, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5664, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5664, 18, 8781753, 11474091, 5665]
19: muli [5, 256, 5] at [0, 5664, 19, 8781753, 11474091, 1450240]
20: gtrr [5, 4, 5] at [0, 5664, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5664, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5664, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5665, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5665, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5665, 18, 8781753, 11474091, 5666]
19: muli [5, 256, 5] at [0, 5665, 19, 8781753, 11474091, 1450496]
20: gtrr [5, 4, 5] at [0, 5665, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5665, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5665, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5666, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5666, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5666, 18, 8781753, 11474091, 5667]
19: muli [5, 256, 5] at [0, 5666, 19, 8781753, 11474091, 1450752]
20: gtrr [5, 4, 5] at [0, 5666, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5666, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5666, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5667, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5667, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5667, 18, 8781753, 11474091, 5668]
19: muli [5, 256, 5] at [0, 5667, 19, 8781753, 11474091, 1451008]
20: gtrr [5, 4, 5] at [0, 5667, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5667, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5667, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5668, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5668, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5668, 18, 8781753, 11474091, 5669]
19: muli [5, 256, 5] at [0, 5668, 19, 8781753, 11474091, 1451264]
20: gtrr [5, 4, 5] at [0, 5668, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5668, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5668, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5669, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5669, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5669, 18, 8781753, 11474091, 5670]
19: muli [5, 256, 5] at [0, 5669, 19, 8781753, 11474091, 1451520]
20: gtrr [5, 4, 5] at [0, 5669, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5669, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5669, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5670, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5670, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5670, 18, 8781753, 11474091, 5671]
19: muli [5, 256, 5] at [0, 5670, 19, 8781753, 11474091, 1451776]
20: gtrr [5, 4, 5] at [0, 5670, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5670, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5670, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5671, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5671, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5671, 18, 8781753, 11474091, 5672]
19: muli [5, 256, 5] at [0, 5671, 19, 8781753, 11474091, 1452032]
20: gtrr [5, 4, 5] at [0, 5671, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5671, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5671, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5672, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5672, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5672, 18, 8781753, 11474091, 5673]
19: muli [5, 256, 5] at [0, 5672, 19, 8781753, 11474091, 1452288]
20: gtrr [5, 4, 5] at [0, 5672, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 5672, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 5672, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 5673, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 5673, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 5673, 18, 8781753, 11474091, 5674]
19: muli [5, 256, 5] at [0, 5673, 19, 8781753, 11474091, 1452544]
20: gtrr [5, 4, 5] at [0, 5673, 20, 8781753, 11474091, 0]
